time,PM,sdPM,PT,sdPT,S,sdS,X,sdX,V,Feed,D,Sin
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1,1,20
1,0,0.1,0,0.1,11.36008979,0.25,0.733995078,0.1,2,1,0.5,20
2,0,0.1,0,0.1,12.750709,0.25,0.584750216,0.1,3,1,0.333333333,20
3,0.05476395,0.1,0,0.1,13.6002373,0.25,0.642087269,0.1,4,1,0.25,20
4,0.156508399,0.1,0,0.1,14.21107748,0.25,0.495080209,0.1,5,1,0.2,20
5,0,0.1,0,0.1,13.8729289,0.25,0.795043329,0.1,6,1,0.166666667,20
6,0,0.1,0,0.1,12.91983922,0.25,0.676364455,0.1,7,1,0.142857143,20
7,0,0.1,0,0.1,11.92499672,0.25,0.715977602,0.1,8,1,0.125,20
8,0,0.1,0.123329711,0.1,11.25188822,0.25,1.200058659,0.1,9,1,0.111111111,20
9,0.084124567,0.1,0.061030522,0.1,9.980806504,0.25,1.268068777,0.1,10,1,0.1,20
10,0,0.1,0.005907216,0.1,8.201327766,0.25,1.597531641,0.1,11.00,2,0.181817637,20
11,0.191218084,0.1,0,0.1,6.523500013,0.25,1.731841615,0.1,13.00,2,0.153846421,20
12,0,0.1,0,0.1,4.112163499,0.25,1.965602547,0.1,15.00,2,0.133333534,20
13,0.040924582,0.1,0,0.1,1.773428226,0.25,2.137929838,0.1,17.00,2,0.117647215,20
14,0,0.1,0.50736032,0.1,0,0.25,2.720327891,0.1,19.00,2,0.105263283,20
15,0.540896831,0.1,1.003609562,0.1,0,0.25,2.639395393,0.1,21.00,2,0.095238198,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1,1,20
1,0.038914573,0.1,0,0.1,11.20754593,0.25,0.709300875,0.1,2,1,0.5,20
2,0,0.1,0,0.1,12.55516564,0.25,0.723031968,0.1,3,1,0.333333333,20
3,0.003974013,0.1,0,0.1,13.58897033,0.25,0.528636078,0.1,4,1,0.25,20
4,0,0.1,0.128145775,0.1,13.57592737,0.25,0.664974233,0.1,5,1,0.2,20
5,0.010924794,0.1,0,0.1,13.62690408,0.25,0.633564697,0.1,6,1,0.166666667,20
6,0,0.1,0,0.1,13.37155612,0.25,0.785531494,0.1,7,1,0.142857143,20
7,0,0.1,0.021468645,0.1,12.8566301,0.25,1.018486249,0.1,8,1,0.125,20
8,0,0.1,0.201077177,0.1,11.84432341,0.25,1.07363709,0.1,9,1,0.111111111,20
9,0,0.1,0.002555443,0.1,9.898086318,0.25,1.170657116,0.1,10,1,0.1,20
10,0.076652685,0.1,0.030829944,0.1,7.885647703,0.25,1.466933961,0.1,11,1,0.090909091,20
11,0.174467318,0.1,0,0.1,5.565960498,0.25,1.900375844,0.1,12,1,0.083333333,20
12,0,0.1,0.167426482,0.1,2.154657427,0.25,2.361048881,0.1,13,1,0.076923077,20
13,0.34905191,0.1,0.340457658,0.1,0.303079666,0.25,2.56249151,0.1,14,1,0.071428571,20
14,0.83140247,0.1,1.136252401,0.1,0.292777493,0.25,2.674019692,0.1,15,1,0.066666667,20
15,1.361678487,0.1,1.700234123,0.1,0,0.25,2.788069093,0.1,16,1,0.0625,20
